,doi,tweets,archive,subject-area,covid,title,authors,posted
10,10.1101/2021.05.01.442252,64,bioRxiv,Cancer Biology,False,Mesenchymal Lineage Heterogeneity Underlies Non-Redundant Functions of Pancreatic Cancer-Associated Fibroblasts,"[{'given': 'Erin J.', 'family': 'Helms', 'sequence': 'first', 'affiliation': []}, {'given': 'Mark W.', 'family': 'Berry', 'sequence': 'additional', 'affiliation': []}, {'given': 'R. Crystal', 'family': 'Chaw', 'sequence': 'additional', 'affiliation': []}, {'given': 'Chris C.', 'family': 'DuFort', 'sequence': 'additional', 'affiliation': []}, {'given': 'Duanchen', 'family': 'Sun', 'sequence': 'additional', 'affiliation': []}, {'given': 'M. Kathrina', 'family': 'Onate', 'sequence': 'additional', 'affiliation': []}, {'given': 'Chet', 'family': 'Oon', 'sequence': 'additional', 'affiliation': []}, {'given': 'Sohinee', 'family': 'Bhattacharyya', 'sequence': 'additional', 'affiliation': []}, {'given': 'Hannah', 'family': 'Sanford-Crane', 'sequence': 'additional', 'affiliation': []}, {'given': 'Wesley', 'family': 'Horton', 'sequence': 'additional', 'affiliation': []}, {'given': 'Jennifer M.', 'family': 'Finan', 'sequence': 'additional', 'affiliation': []}, {'given': 'Ariana', 'family': 'Sattler', 'sequence': 'additional', 'affiliation': []}, {'given': 'Rosemary', 'family': 'Makar', 'sequence': 'additional', 'affiliation': []}, {'given': 'David W.', 'family': 'Dawson', 'sequence': 'additional', 'affiliation': []}, {'given': 'Zheng', 'family': 'Xia', 'sequence': 'additional', 'affiliation': []}, {'given': 'Sunil R.', 'family': 'Hingorani', 'sequence': 'additional', 'affiliation': []}, {'given': 'Mara H.', 'family': 'Sherman', 'sequence': 'additional', 'affiliation': []}]",2021-05-02
11,10.1101/2021.05.02.442311,50,bioRxiv,Microbiology,False,Vibrio cholerae biofilm dispersal regulator causes cell release from matrix through type IV pilus retraction,"[{'ORCID': 'http://orcid.org/0000-0002-0254-7400', 'authenticated-orcid': False, 'given': 'Praveen K.', 'family': 'Singh', 'sequence': 'first', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-2950-9340', 'authenticated-orcid': False, 'given': 'Daniel K.H.', 'family': 'Rode', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0003-3667-9687', 'authenticated-orcid': False, 'given': 'Pauline', 'family': 'Buffard', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-4811-1397', 'authenticated-orcid': False, 'given': 'Kazuki', 'family': 'Nosho', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-0453-0653', 'authenticated-orcid': False, 'given': 'Miriam', 'family': 'Bayer', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-7080-4907', 'authenticated-orcid': False, 'given': 'Hannah', 'family': 'Jeckel', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0001-6202-2449', 'authenticated-orcid': False, 'given': 'Eric', 'family': 'Jelli', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-9877-5765', 'authenticated-orcid': False, 'given': 'Konstantin', 'family': 'Neuhaus', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0001-8168-0359', 'authenticated-orcid': False, 'given': 'Eva', 'family': 'Jiménez-Siebert', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0003-2835-775X', 'authenticated-orcid': False, 'given': 'Nikolai', 'family': 'Peschek', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0001-8716-8516', 'authenticated-orcid': False, 'given': 'Timo', 'family': 'Glatter', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-5560-9804', 'authenticated-orcid': False, 'given': 'Kai', 'family': 'Papenfort', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-7340-2444', 'authenticated-orcid': False, 'given': 'Knut', 'family': 'Drescher', 'sequence': 'additional', 'affiliation': []}]",2021-05-02
12,10.1101/2021.04.29.442012,46,bioRxiv,Developmental Biology,False,Spatiotemporal patterns of neuronal subtype genesis suggest hierarchical development of retinal diversity,"[{'ORCID': 'http://orcid.org/0000-0002-2109-016X', 'authenticated-orcid': False, 'given': 'Emma R', 'family': 'West', 'sequence': 'first', 'affiliation': []}, {'given': 'Sylvain W', 'family': 'Lapan', 'sequence': 'additional', 'affiliation': []}, {'given': 'ChangHee', 'family': 'Lee', 'sequence': 'additional', 'affiliation': []}, {'given': 'Kathrin M', 'family': 'Kajderowicz', 'sequence': 'additional', 'affiliation': []}, {'given': 'Xihao', 'family': 'Li', 'sequence': 'additional', 'affiliation': []}, {'given': 'Constance', 'family': 'Cepko', 'sequence': 'additional', 'affiliation': []}]",2021-04-30
13,10.1101/2021.05.02.442342,41,bioRxiv,Molecular Biology,False,Cytosolic aggregation of mitochondrial proteins disrupts cellular homeostasis by stimulating other proteins aggregation,"[{'ORCID': 'http://orcid.org/0000-0001-7446-3786', 'authenticated-orcid': False, 'given': 'Urszula', 'family': 'Nowicka', 'sequence': 'first', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-4291-3284', 'authenticated-orcid': False, 'given': 'Piotr', 'family': 'Chroscicki', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-2208-2057', 'authenticated-orcid': False, 'given': 'Karen', 'family': 'Stroobants', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-8719-2775', 'authenticated-orcid': False, 'given': 'Maria', 'family': 'Sladowska', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-6676-0219', 'authenticated-orcid': False, 'given': 'Michal', 'family': 'Turek', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0003-0150-3841', 'authenticated-orcid': False, 'given': 'Barbara', 'family': 'Uszczynska-Ratajczak', 'sequence': 'additional', 'affiliation': []}, {'given': 'Rishika', 'family': 'Kundra', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-6241-6883', 'authenticated-orcid': False, 'given': 'Tomasz', 'family': 'Goral', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0001-7593-8376', 'authenticated-orcid': False, 'given': 'Michele', 'family': 'Perni', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-5445-680X', 'authenticated-orcid': False, 'given': 'Christopher M.', 'family': 'Dobson', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-3616-1610', 'authenticated-orcid': False, 'given': 'Michele', 'family': 'Vendruscolo', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-2832-2568', 'authenticated-orcid': False, 'given': 'Agnieszka', 'family': 'Chacinska', 'sequence': 'additional', 'affiliation': []}]",2021-05-02
14,10.1101/2021.05.01.442281,40,bioRxiv,Bioinformatics,False,RNA splicing programs define tissue compartments and cell types at single cell resolution,"[{'given': 'Julia Eve', 'family': 'Olivieri', 'sequence': 'first', 'affiliation': []}, {'given': 'Roozbeh', 'family': 'Dehghannasiri', 'sequence': 'additional', 'affiliation': []}, {'given': 'Peter', 'family': 'Wang', 'sequence': 'additional', 'affiliation': []}, {'given': 'SoRi', 'family': 'Jang', 'sequence': 'additional', 'affiliation': []}, {'given': 'Antoine', 'family': 'de Morree', 'sequence': 'additional', 'affiliation': []}, {'given': 'Serena Y.', 'family': 'Tan', 'sequence': 'additional', 'affiliation': []}, {'given': 'Jingsi', 'family': 'Ming', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-3531-4830', 'authenticated-orcid': False, 'given': 'Angela Ruohao', 'family': 'Wu', 'sequence': 'additional', 'affiliation': []}, {'given': 'Tabula Sapiens', 'family': 'Consortium', 'sequence': 'additional', 'affiliation': []}, {'given': 'Stephen R.', 'family': 'Quake', 'sequence': 'additional', 'affiliation': []}, {'given': 'Mark A.', 'family': 'Krasnow', 'sequence': 'additional', 'affiliation': []}, {'given': 'Julia', 'family': 'Salzman', 'sequence': 'additional', 'affiliation': []}]",2021-05-02
15,10.1101/2021.05.01.441648,38,bioRxiv,Neuroscience,False,A multisensory circuit for gating intense aversive experiences,"[{'ORCID': 'http://orcid.org/0000-0001-9056-8799', 'authenticated-orcid': False, 'given': 'Arun', 'family': 'Asok', 'sequence': 'first', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0003-1715-3233', 'authenticated-orcid': False, 'given': 'Félix', 'family': 'Leroy', 'sequence': 'additional', 'affiliation': []}, {'given': 'Cameron', 'family': 'Parro', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-6684-7007', 'authenticated-orcid': False, 'given': 'Christopher A.', 'family': 'de Solis', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-5102-960X', 'authenticated-orcid': False, 'given': 'Lenzie', 'family': 'Ford', 'sequence': 'additional', 'affiliation': []}, {'given': 'Michelle N.', 'family': 'Fitzpatrick', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-6429-869X', 'authenticated-orcid': False, 'given': 'Abigail', 'family': 'Kalmbach', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-3854-5968', 'authenticated-orcid': False, 'given': 'Rachael', 'family': 'Neve', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0003-0149-0024', 'authenticated-orcid': False, 'given': 'Joseph B', 'family': 'Rayman', 'sequence': 'additional', 'affiliation': []}, {'given': 'Eric R.', 'family': 'Kandel', 'sequence': 'additional', 'affiliation': []}]",2021-05-02
16,10.1101/2021.04.29.21256002,35,medRxiv,Infectious Diseases (except HIV/AIDS),True,SARS-CoV-2 sculpts the immune system to induce sustained virus-specific naïve-like and memory B cell responses,"[{'given': 'Leire', 'family': 'de Campos-Mata', 'sequence': 'first', 'affiliation': []}, {'given': 'Sonia', 'family': 'Tejedor Vaquero', 'sequence': 'additional', 'affiliation': []}, {'given': 'Roser', 'family': 'Tachó-Piñot', 'sequence': 'additional', 'affiliation': []}, {'given': 'Janet', 'family': 'Piñero', 'sequence': 'additional', 'affiliation': []}, {'given': 'Emilie K.', 'family': 'Grasset', 'sequence': 'additional', 'affiliation': []}, {'given': 'Itziar', 'family': 'Arrieta Aldea', 'sequence': 'additional', 'affiliation': []}, {'given': 'Natalia', 'family': 'Rodrigo Melero', 'sequence': 'additional', 'affiliation': []}, {'given': 'Carlo', 'family': 'Carolis', 'sequence': 'additional', 'affiliation': []}, {'given': 'Juan P.', 'family': 'Horcajada', 'sequence': 'additional', 'affiliation': []}, {'given': 'Andrea', 'family': 'Cerutti', 'sequence': 'additional', 'affiliation': []}, {'given': 'Judit', 'family': 'Villar-García', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-0163-3542', 'authenticated-orcid': False, 'given': 'Giuliana', 'family': 'Magri', 'sequence': 'additional', 'affiliation': []}]",2021-04-30
17,10.1101/2021.04.30.442166,34,bioRxiv,Cell Biology,False,Dynamics and heterogeneity of Erk-induced immediate-early gene expression,"[{'given': 'Siddhartha G.', 'family': 'Jena', 'sequence': 'first', 'affiliation': []}, {'given': 'Catherine', 'family': 'Yu', 'sequence': 'additional', 'affiliation': []}, {'given': 'Jared E.', 'family': 'Toettcher', 'sequence': 'additional', 'affiliation': []}]",2021-04-30
18,10.1101/2021.05.03.442461,29,bioRxiv,Plant Biology,False,Misregulation of MYB16 causes stomatal cluster formation by disrupting polarity in asymmetric cell division,"[{'ORCID': 'http://orcid.org/0000-0003-0989-5448', 'authenticated-orcid': False, 'given': 'Shao-Li', 'family': 'Yang', 'sequence': 'first', 'affiliation': []}, {'given': 'Ngan', 'family': 'Tran', 'sequence': 'additional', 'affiliation': []}, {'given': 'Meng-Ying', 'family': 'Tsai', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-7994-0630', 'authenticated-orcid': False, 'given': 'Chin-Min Kimmy', 'family': 'Ho', 'sequence': 'additional', 'affiliation': []}]",2021-05-03
19,10.1101/2021.04.30.442165,28,bioRxiv,Developmental Biology,False,A somatic piRNA pathway regulates epithelial-to-mesenchymal transition of chick neural crest cells,"[{'ORCID': 'http://orcid.org/0000-0001-6777-2177', 'authenticated-orcid': False, 'given': 'Riley', 'family': 'Galton', 'sequence': 'first', 'affiliation': []}, {'given': 'Katalin', 'family': 'Fejes-Toth', 'sequence': 'additional', 'affiliation': []}, {'given': 'Marianne E.', 'family': 'Bronner', 'sequence': 'additional', 'affiliation': []}]",2021-04-30
